ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body

2798,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,GET,http://localhost:3000/api/auth?class.module.classLoader.DefaultAssertionStatus=nonsense,404,Not Found,64,260,3417

2799,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,GET,http://localhost:3000/api/auth/csrf?class.module.classLoader.DefaultAssertionStatus=nonsense,200,OK,29,216,80

2800,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,GET,http://localhost:3000/api/auth/providers?class.module.classLoader.DefaultAssertionStatus=nonsense,200,OK,31,216,218

2801,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth,404,Not Found,38,260,3357

2802,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth/csrf,400,Bad Request,26,154,65

2803,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth/providers,400,Bad Request,28,154,65

2804,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth/csrf,400,Bad Request,15,154,65

2805,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth/providers,400,Bad Request,21,154,65

2806,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,GET,http://localhost:3000/api/auth/session?class.module.classLoader.DefaultAssertionStatus=nonsense,200,OK,9,746,212

2807,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth/session,400,Bad Request,16,154,65

2808,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:48 EST 2024,POST,http://localhost:3000/api/auth/session,400,Bad Request,19,154,65

2809,Wed Dec 11 18:58:48 EST 2024,Wed Dec 11 18:58:49 EST 2024,POST,http://localhost:3000/api/auth/callback/credentials,200,OK,879,745,31

2810,Wed Dec 11 18:58:49 EST 2024,Wed Dec 11 18:58:49 EST 2024,GET,http://localhost:3000/api/auth,404,Not Found,37,260,3357

2811,Wed Dec 11 18:58:49 EST 2024,Wed Dec 11 18:58:49 EST 2024,GET,http://localhost:3000/api/auth/callback,400,Bad Request,7,154,64

